"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R68","0402","20.4371mm","-20mm","20.4371mm","-20mm","20.4371mm","-19.52mm","T","270.00","0R"
"R69","0402","18.4014mm","-33.6mm","18.4014mm","-33.6mm","18.8814mm","-33.6mm","T","180.00","0R"
"R70","0402","19.0585mm","-20mm","19.0585mm","-20mm","19.0585mm","-19.52mm","T","270.00","0R"
"R71","0402","25.4014mm","-33.5mm","25.4014mm","-33.5mm","24.9214mm","-33.5mm","T","360.00","0R"
"R72","0402","23.1943mm","-20mm","23.1943mm","-20mm","23.1943mm","-19.52mm","T","270.00","0R"
"R73","0402","23.45mm","-33.5mm","23.45mm","-33.5mm","23.93mm","-33.5mm","T","180.00","0R"
"R74","0402","21.8157mm","-20mm","21.8157mm","-20mm","21.8157mm","-19.52mm","T","270.00","0R"
"R75","0402","28.3014mm","-33.5mm","28.3014mm","-33.5mm","28.7814mm","-33.5mm","T","180.00","0R"
"R76","0402","25.9514mm","-20mm","25.9514mm","-20mm","25.9514mm","-19.52mm","T","270.00","0R"
"R78","0402","24.5728mm","-20mm","24.5728mm","-20mm","24.5728mm","-19.52mm","T","270.00","0R"
"C90","0402","29.7014mm","-33mm","29.7014mm","-33mm","29.7014mm","-33.48mm","T","90.00","100n"
"R77","0402","30.1514mm","-33.5mm","30.1514mm","-33.5mm","29.6714mm","-33.5mm","T","360.00","0R"
"SP1","M2-4mm","15.5mm","-13.5mm","15.5mm","-13.5mm","15.5mm","-13.5mm","T","0.00","9774040243"
"SP2","M2-4mm","40.5mm","-13.5mm","40.5mm","-13.5mm","40.5mm","-13.5mm","T","0.00","9774040243"
"SP3","M2-4mm","13.5mm","-70mm","13.5mm","-70mm","13.5mm","-70mm","T","0.00","9774040243"
"SP4","M2-4mm","40.5mm","-70mm","40.5mm","-70mm","40.5mm","-70mm","T","0.00","9774040243"
"IC3","LQFP-48","-16.4592mm","14.351mm","-16.4592mm","14.351mm","-20.6842mm","17.101mm","T","360.00","FT2232D"
"R86","0402","65.77mm","-12.9264mm","65.77mm","-12.9264mm","65.77mm","-13.4064mm","T","90.00","0R"
"R87","0402","65.77mm","-11mm","65.77mm","-11mm","65.77mm","-10.52mm","T","270.00","0R"
"R88","0402","-8.85mm","0.5842mm","-8.85mm","0.5842mm","-8.85mm","1.0642mm","B","270.00","10k"
"R89","0402","17.1907mm","-25.4254mm","17.1907mm","-25.4254mm","17.1907mm","-24.9454mm","T","270.00","10k"
"C35","0402","-14.1224mm","-29.7942mm","-14.1224mm","-29.7942mm","-13.6424mm","-29.7942mm","T","180.00","100n"
"C95","0402","-9.5072mm","-37.263mm","-9.5072mm","-37.263mm","-9.0272mm","-37.263mm","T","180.00","100n"
"C96","0402","-9.5072mm","-36.3232mm","-9.5072mm","-36.3232mm","-9.0272mm","-36.3232mm","T","180.00","100n"
"C53","0402","-24.6674mm","22.2871mm","-24.6674mm","22.2871mm","-24.6674mm","21.8071mm","T","90.00","18p"
"C74","0402","-18.2092mm","18.576mm","-18.2092mm","18.576mm","-18.2092mm","18.096mm","B","90.00","100n"
"C97","0402","-8.8432mm","22.2871mm","-8.8432mm","22.2871mm","-8.8432mm","21.8071mm","T","90.00","18p"
"R91","0402","-14.4018mm","7.7724mm","-14.4018mm","7.7724mm","-14.4018mm","7.2924mm","T","90.00","22R"
"R35","0402","-13.5382mm","7.7724mm","-13.5382mm","7.7724mm","-13.5382mm","7.2924mm","T","90.00","22R"
"R93","0402","-19.1008mm","16.126mm","-19.1008mm","16.126mm","-19.1008mm","16.606mm","B","270.00","10k"
"R92","0402","-23.0124mm","15.367mm","-23.0124mm","15.367mm","-23.4924mm","15.367mm","T","0.00","1k54"
"R36","0402","-16.6878mm","20.066mm","-16.6878mm","20.066mm","-16.2078mm","20.066mm","B","180.00","470R"
"Y1","crystal_smd","-16.6918mm","22.7838mm","-12.6278mm","22.7838mm","-12.6278mm","22.7838mm","T","180.00","LFXTAL026900"
"J4","114-00841-68","-27.0392mm","-20.7918mm","-31.5722mm","-26.4668mm","-32.4462mm","-24.0118mm","T","270.00","114-00841-68"
"C15","0603","-29.7688mm","-20.7118mm","-29.7688mm","-20.7118mm","-29.0703mm","-20.7118mm","B","180.00","1u"
"J7","Molex_HDMI_471511001","-26.476mm","-4.6854mm","-26.476mm","-4.6854mm","-23.116mm","-9.1854mm","T","270.00",""
"D6","TPD6E05U06_PASS","-14.4526mm","-26.1874mm","-14.4526mm","-26.1874mm","-15.0776mm","-27.6874mm","T","90.00","TPD6E05U06"
"FAN1","molex_2223-2021","14.62mm","-93.8mm","14.62mm","-93.8mm","13.35mm","-93.8mm","T","0.00","MX-22-23-2021"
"R90","0402","-9.5072mm","-37.8743mm","-9.5072mm","-37.8743mm","-9.0272mm","-37.8743mm","B","180.00","0R"
"R94","0402","-9.5192mm","-38.7108mm","-9.5192mm","-38.7108mm","-9.0392mm","-38.7108mm","B","180.00","0R"
"R95","0402","-12.75mm","-10.033mm","-12.75mm","-10.033mm","-12.75mm","-9.553mm","B","270.00","0R"
"R96","0402","-7.5939mm","-10.0051mm","-7.5939mm","-10.0051mm","-7.5939mm","-9.5251mm","B","270.00","0R"
"R97","0402","-9.523mm","-10.0051mm","-9.523mm","-10.0051mm","-9.523mm","-9.5251mm","B","270.00","0R"
"R98","0402","-8.5585mm","-10.0051mm","-8.5585mm","-10.0051mm","-8.5585mm","-10.485mm","B","90.00","0R"
"R99","0402","-13.6652mm","-10.033mm","-13.6652mm","-10.033mm","-13.6652mm","-10.513mm","B","90.00","0R"
"R100","0402","-6.6294mm","-10.0051mm","-6.6294mm","-10.0051mm","-6.6294mm","-10.485mm","B","90.00","0R"
"R102","0402","29.3516mm","-28.6969mm","29.3516mm","-28.6969mm","28.8716mm","-28.6969mm","T","360.00","0R"
"R103","0402","29.3516mm","-26.4516mm","29.3516mm","-26.4516mm","28.8716mm","-26.4516mm","T","360.00","0R"
"R104","0402","29.3516mm","-27.5742mm","29.3516mm","-27.5742mm","29.8316mm","-27.5742mm","T","180.00","0R"
"R105","0402","29.337mm","-25.3289mm","29.337mm","-25.3289mm","29.817mm","-25.3289mm","T","180.00","0R"
"R106","0402","29.3516mm","-29.8196mm","29.3516mm","-29.8196mm","29.8316mm","-29.8196mm","T","180.00","0R"
"R107","0402","36.576mm","-78.2344mm","36.576mm","-78.2344mm","36.576mm","-78.7144mm","T","90.00","0R"
"R108","0402","36.576mm","-79.1946mm","36.576mm","-79.1946mm","36.576mm","-79.6746mm","T","90.00","0R"
"R109","0402","39.5986mm","-75.946mm","39.5986mm","-75.946mm","39.1186mm","-75.946mm","T","360.00","0R"
"R110","0402","38.6334mm","-75.946mm","38.6334mm","-75.946mm","38.1534mm","-75.946mm","T","360.00","0R"
"R101","0402","29.337mm","-24.2062mm","29.337mm","-24.2062mm","28.857mm","-24.2062mm","T","360.00","0R"

